developer,month,left_repo,right_repo,count
Dicklesworthstone,2025-10,Dicklesworthstone/rust_scriptbots,Dicklesworthstone/mcp_agent_mail,83
Dicklesworthstone,2025-10,Dicklesworthstone/mcp_agent_mail,Dicklesworthstone/rust_scriptbots,83
Dicklesworthstone,2025-11,Dicklesworthstone/ultrasearch,Dicklesworthstone/coding_agent_session_search,43
Dicklesworthstone,2025-11,Dicklesworthstone/coding_agent_session_search,Dicklesworthstone/ultrasearch,43
Dicklesworthstone,2025-11,Dicklesworthstone/fast_cmaes,Dicklesworthstone/wasm_cmaes,21
Dicklesworthstone,2025-11,Dicklesworthstone/wasm_cmaes,Dicklesworthstone/fast_cmaes,18
Dicklesworthstone,2025-11,Dicklesworthstone/coding_agent_session_search,Dicklesworthstone/system_resource_protection_script,17
Dicklesworthstone,2025-11,Dicklesworthstone/model_guided_research,Dicklesworthstone/bio_inspired_nanochat,14
Dicklesworthstone,2025-11,Dicklesworthstone/system_resource_protection_script,Dicklesworthstone/coding_agent_session_search,14
Dicklesworthstone,2025-11,Dicklesworthstone/beads_viewer,Dicklesworthstone/coding_agent_session_search,14
Dicklesworthstone,2025-11,Dicklesworthstone/bio_inspired_nanochat,Dicklesworthstone/model_guided_research,13
Dicklesworthstone,2025-11,Dicklesworthstone/ultrasearch,Dicklesworthstone/ultimate_bug_scanner,12
Dicklesworthstone,2025-11,Dicklesworthstone/system_resource_protection_script,Dicklesworthstone/ultrasearch,12
Dicklesworthstone,2025-11,Dicklesworthstone/system_resource_protection_script,Dicklesworthstone/ultimate_bug_scanner,12
Dicklesworthstone,2025-11,Dicklesworthstone/coding_agent_session_search,Dicklesworthstone/beads_viewer,12
Dicklesworthstone,2025-11,Dicklesworthstone/ultrasearch,Dicklesworthstone/system_resource_protection_script,11
Dicklesworthstone,2025-11,Dicklesworthstone/ultimate_bug_scanner,Dicklesworthstone/ultrasearch,10
Dicklesworthstone,2025-11,Dicklesworthstone/ultimate_bug_scanner,Dicklesworthstone/system_resource_protection_script,10
Dicklesworthstone,2025-11,Dicklesworthstone/ultimate_bug_scanner,Dicklesworthstone/bio_inspired_nanochat,9
