developer,month,repo,commits,share
Dicklesworthstone,2025-09,Dicklesworthstone/ultimate_mcp_server,1,1.000000
Dicklesworthstone,2025-10,Dicklesworthstone/rust_scriptbots,261,0.557692
Dicklesworthstone,2025-10,Dicklesworthstone/mcp_agent_mail,207,0.442308
Dicklesworthstone,2025-11,Dicklesworthstone/ultimate_bug_scanner,371,0.224305
Dicklesworthstone,2025-11,Dicklesworthstone/ultrasearch,270,0.163241
Dicklesworthstone,2025-11,Dicklesworthstone/coding_agent_session_search,225,0.136034
Dicklesworthstone,2025-11,Dicklesworthstone/beads_viewer,139,0.084039
Dicklesworthstone,2025-11,Dicklesworthstone/mcp_agent_mail,129,0.077993
Dicklesworthstone,2025-11,Dicklesworthstone/system_resource_protection_script,93,0.056227
Dicklesworthstone,2025-11,Dicklesworthstone/markdown_web_browser,92,0.055623
Dicklesworthstone,2025-11,Dicklesworthstone/bio_inspired_nanochat,89,0.053809
Dicklesworthstone,2025-11,Dicklesworthstone/wasm_cmaes,65,0.039299
Dicklesworthstone,2025-11,Dicklesworthstone/model_guided_research,51,0.030834
Dicklesworthstone,2025-11,Dicklesworthstone/fast_cmaes,51,0.030834
Dicklesworthstone,2025-11,Dicklesworthstone/cmaes_explainer,48,0.029021
Dicklesworthstone,2025-11,Dicklesworthstone/jeffrey_emanuel_personal_site,30,0.018138
Dicklesworthstone,2025-11,Dicklesworthstone/rust_scriptbots,1,0.000605
Dicklesworthstone,2025-12,Dicklesworthstone/agentic_coding_flywheel_setup,656,0.280702
Dicklesworthstone,2025-12,Dicklesworthstone/phage_explorer,367,0.157039
Dicklesworthstone,2025-12,Jyotilohar18/cass_memory_system,268,0.114677
Dicklesworthstone,2025-12,Dicklesworthstone/ntm,249,0.106547
Dicklesworthstone,2025-12,ry256/slb,163,0.069748
Dicklesworthstone,2025-12,Dicklesworthstone/brenner_bot,142,0.060762
Dicklesworthstone,2025-12,Dicklesworthstone/cass_memory_system,131,0.056055
Dicklesworthstone,2025-12,Dicklesworthstone/coding_agent_account_manager,128,0.054771
Dicklesworthstone,2025-12,Dicklesworthstone/chat_shared_conversation_to_file,51,0.021823
Dicklesworthstone,2025-12,Dicklesworthstone/slb,41,0.017544
Dicklesworthstone,2025-12,dahisea/All-Repo-Trending,40,0.017116
Dicklesworthstone,2025-12,Dicklesworthstone/mcp_agent_mail,33,0.014121
Dicklesworthstone,2025-12,Dicklesworthstone/ultimate_bug_scanner,21,0.008986
Dicklesworthstone,2025-12,Dicklesworthstone/coding_agent_session_search,18,0.007702
Dicklesworthstone,2025-12,Dicklesworthstone/jeffrey_emanuel_personal_site,10,0.004279
Dicklesworthstone,2025-12,Dicklesworthstone/source_to_prompt_tui,5,0.002139
Dicklesworthstone,2025-12,Dicklesworthstone/bio_inspired_nanochat,5,0.002139
Dicklesworthstone,2025-12,Dicklesworthstone/cool_desktop_wallpapers,3,0.001284
Dicklesworthstone,2025-12,Dicklesworthstone/cass-memory-system-agent-mailbox-viewer,1,0.000428
Dicklesworthstone,2025-12,Dicklesworthstone/ultrasearch,1,0.000428
Dicklesworthstone,2025-12,Dicklesworthstone/markdown_web_browser,1,0.000428
Dicklesworthstone,2025-12,Dicklesworthstone/beads_viewer-pages,1,0.000428
Dicklesworthstone,2025-12,Dicklesworthstone/model_guided_research,1,0.000428
Dicklesworthstone,2025-12,Dicklesworthstone/misc_coding_agent_tips_and_scripts,1,0.000428
Dicklesworthstone,2026-01,Dicklesworthstone/destructive_command_guard,1130,0.073606
Dicklesworthstone,2026-01,Dicklesworthstone/flywheel_gateway,1090,0.071001
Dicklesworthstone,2026-01,Dicklesworthstone/ntm,1002,0.065268
Dicklesworthstone,2026-01,Dicklesworthstone/jeffreysprompts.com,947,0.061686
Dicklesworthstone,2026-01,Dicklesworthstone/remote_compilation_helper,929,0.060513
Dicklesworthstone,2026-01,Dicklesworthstone/repo_updater,748,0.048723
Dicklesworthstone,2026-01,Dicklesworthstone/flywheel_connectors,746,0.048593
Dicklesworthstone,2026-01,Dicklesworthstone/asupersync,664,0.043252
Dicklesworthstone,2026-01,Dicklesworthstone/brenner_bot,599,0.039018
Dicklesworthstone,2026-01,Dicklesworthstone/coding_agent_session_search,586,0.038171
Dicklesworthstone,2026-01,Dicklesworthstone/beads_rust,539,0.035109
Dicklesworthstone,2026-01,Dicklesworthstone/process_triage,474,0.030875
Dicklesworthstone,2026-01,Dicklesworthstone/frankenterm,462,0.030094
Dicklesworthstone,2026-01,Dicklesworthstone/charmed_rust,446,0.029052
Dicklesworthstone,2026-01,Dicklesworthstone/agentic_coding_flywheel_setup,422,0.027488
Dicklesworthstone,2026-01,Dicklesworthstone/meta_skill,411,0.026772
Dicklesworthstone,2026-01,Dicklesworthstone/xf,352,0.022929
Dicklesworthstone,2026-01,Dicklesworthstone/rich_rust,352,0.022929
Dicklesworthstone,2026-01,Dicklesworthstone/sqlmodel_rust,320,0.020844
Dicklesworthstone,2026-01,Dicklesworthstone/opentui_rust,298,0.019411
Dicklesworthstone,2026-01,Dicklesworthstone/coding_agent_account_manager,281,0.018304
Dicklesworthstone,2026-01,Dicklesworthstone/phage_explorer,229,0.014917
Dicklesworthstone,2026-01,Dicklesworthstone/mcp_agent_mail,212,0.013809
Dicklesworthstone,2026-01,Dicklesworthstone/doodlestein_self_releaser,176,0.011464
Dicklesworthstone,2026-01,Dicklesworthstone/fastapi_rust,152,0.009901
Dicklesworthstone,2026-01,Dicklesworthstone/fastmcp_rust,148,0.009640
Dicklesworthstone,2026-01,Dicklesworthstone/beads_viewer,134,0.008729
Dicklesworthstone,2026-01,Dicklesworthstone/jeffrey_emanuel_personal_site,131,0.008533
Dicklesworthstone,2026-01,Dicklesworthstone/automated_plan_reviser_pro,119,0.007751
Dicklesworthstone,2026-01,Dicklesworthstone/rust_proxy,97,0.006318
Dicklesworthstone,2026-01,Dicklesworthstone/giil,95,0.006188
Dicklesworthstone,2026-01,Dicklesworthstone/cass_memory_system,77,0.005016
Dicklesworthstone,2026-01,Dicklesworthstone/rano,74,0.004820
Dicklesworthstone,2026-01,Dicklesworthstone/coding_agent_usage_tracker,72,0.004690
Dicklesworthstone,2026-01,Dicklesworthstone/savant-elite,67,0.004364
Dicklesworthstone,2026-01,Dicklesworthstone/vibe_cockpit,62,0.004039
Dicklesworthstone,2026-01,Dicklesworthstone/ultimate_bug_scanner,61,0.003973
Dicklesworthstone,2026-01,Dicklesworthstone/acip,52,0.003387
Dicklesworthstone,2026-01,Dicklesworthstone/toon_rust,47,0.003061
Dicklesworthstone,2026-01,Dicklesworthstone/slb,42,0.002736
Dicklesworthstone,2026-01,Dicklesworthstone/aadc,40,0.002606
Dicklesworthstone,2026-01,Dicklesworthstone/bio_inspired_nanochat,37,0.002410
Dicklesworthstone,2026-01,Dicklesworthstone/agent_settings_backup_script,37,0.002410
Dicklesworthstone,2026-01,Dicklesworthstone/agent_flywheel_clawdbot_skills_and_integrations,34,0.002215
Dicklesworthstone,2026-01,Dicklesworthstone/rust_stream_deck,34,0.002215
Dicklesworthstone,2026-01,Dicklesworthstone/misc_coding_agent_tips_and_scripts,32,0.002084
Dicklesworthstone,2026-01,Dicklesworthstone/homebrew-tap,30,0.001954
Dicklesworthstone,2026-01,Dicklesworthstone/post_compact_reminder,29,0.001889
Dicklesworthstone,2026-01,Dicklesworthstone/model_guided_research,28,0.001824
Dicklesworthstone,2026-01,Dicklesworthstone/surface-dial-rust,25,0.001628
Dicklesworthstone,2026-01,Dicklesworthstone/markdown_web_browser,22,0.001433
Dicklesworthstone,2026-01,Dicklesworthstone/source_to_prompt_tui,14,0.000912
Dicklesworthstone,2026-01,Dicklesworthstone/frankentui,14,0.000912
Dicklesworthstone,2026-01,Dicklesworthstone/ultrasearch,13,0.000847
Dicklesworthstone,2026-01,Dicklesworthstone/scoop-bucket,13,0.000847
Dicklesworthstone,2026-01,Dicklesworthstone/rust_scriptbots,12,0.000782
Dicklesworthstone,2026-01,Dicklesworthstone/lemelsonbot,12,0.000782
Dicklesworthstone,2026-01,Dicklesworthstone/chat_shared_conversation_to_file,11,0.000717
Dicklesworthstone,2026-01,Dicklesworthstone/system_resource_protection_script,11,0.000717
Dicklesworthstone,2026-01,Dicklesworthstone/ultimate_mcp_server,9,0.000586
Dicklesworthstone,2026-01,Dicklesworthstone/wasm_cmaes,7,0.000456
Dicklesworthstone,2026-01,Dicklesworthstone/ultimate_mcp_client,7,0.000456
Dicklesworthstone,2026-01,Dicklesworthstone/curl_bash_one_liners_for_flywheel_tools,5,0.000326
Dicklesworthstone,2026-01,Dicklesworthstone/fast_cmaes,5,0.000326
Dicklesworthstone,2026-01,Dicklesworthstone/toon-go,5,0.000326
Dicklesworthstone,2026-01,Dicklesworthstone/cmaes_explainer,4,0.000261
Dicklesworthstone,2026-01,Dicklesworthstone/llm_aided_ocr,4,0.000261
Dicklesworthstone,2026-01,Dicklesworthstone/suno2cd,3,0.000195
Dicklesworthstone,2026-01,Dicklesworthstone/beads_for_cass,3,0.000195
Dicklesworthstone,2026-01,Dicklesworthstone/beads_viewer_for_agentic_coding_flywheel_setup,2,0.000130
Dicklesworthstone,2026-01,Dicklesworthstone/useful_tmux_commands,2,0.000130
Dicklesworthstone,2026-01,Dicklesworthstone/llm-tournament,2,0.000130
Dicklesworthstone,2026-01,Dicklesworthstone/beads_viewer-pages,1,0.000065
Dicklesworthstone,2026-02,Dicklesworthstone/frankentui,2374,0.127552
Dicklesworthstone,2026-02,Dicklesworthstone/frankenterm,2311,0.124167
Dicklesworthstone,2026-02,Dicklesworthstone/asupersync,2262,0.121534
Dicklesworthstone,2026-02,Dicklesworthstone/pi_agent_rust,2050,0.110144
Dicklesworthstone,2026-02,Dicklesworthstone/frankensqlite,1341,0.072050
Dicklesworthstone,2026-02,Dicklesworthstone/mcp_agent_mail_rust,1105,0.059370
Dicklesworthstone,2026-02,Dicklesworthstone/ntm,618,0.033204
Dicklesworthstone,2026-02,Dicklesworthstone/coding_agent_session_search,485,0.026058
Dicklesworthstone,2026-02,Dicklesworthstone/process_triage,469,0.025199
Dicklesworthstone,2026-02,Dicklesworthstone/frankenlibc,440,0.023641
Dicklesworthstone,2026-02,Dicklesworthstone/frankenfs,391,0.021008
Dicklesworthstone,2026-02,Dicklesworthstone/franken_engine,305,0.016387
Dicklesworthstone,2026-02,Dicklesworthstone/frankensearch,295,0.015850
Dicklesworthstone,2026-02,Dicklesworthstone/jeffreysprompts.com,271,0.014560
Dicklesworthstone,2026-02,Dicklesworthstone/storage_ballast_helper,251,0.013486
Dicklesworthstone,2026-02,Dicklesworthstone/franken_node,248,0.013325
Dicklesworthstone,2026-02,Dicklesworthstone/fastmcp_rust,204,0.010961
Dicklesworthstone,2026-02,Dicklesworthstone/remote_compilation_helper,185,0.009940
Dicklesworthstone,2026-02,Dicklesworthstone/frankentui_website,178,0.009564
Dicklesworthstone,2026-02,Dicklesworthstone/frankenpandas,169,0.009080
Dicklesworthstone,2026-02,Dicklesworthstone/jeffrey_emanuel_personal_site,153,0.008221
Dicklesworthstone,2026-02,Dicklesworthstone/frankentorch,151,0.008113
Dicklesworthstone,2026-02,Dicklesworthstone/frankenjax,149,0.008006
Dicklesworthstone,2026-02,Dicklesworthstone/agentic_coding_flywheel_setup,133,0.007146
Dicklesworthstone,2026-02,Dicklesworthstone/sqlmodel_rust,133,0.007146
Dicklesworthstone,2026-02,Dicklesworthstone/franken_numpy,129,0.006931
Dicklesworthstone,2026-02,Dicklesworthstone/flywheel_connectors,124,0.006662
Dicklesworthstone,2026-02,Dicklesworthstone/charmed_rust,118,0.006340
Dicklesworthstone,2026-02,Dicklesworthstone/frankenredis,113,0.006071
Dicklesworthstone,2026-02,Dicklesworthstone/fastapi_rust,98,0.005265
Dicklesworthstone,2026-02,Dicklesworthstone/beads_rust,93,0.004997
Dicklesworthstone,2026-02,Dicklesworthstone/frankenmermaid,88,0.004728
Dicklesworthstone,2026-02,Dicklesworthstone/doodlestein_self_releaser,77,0.004137
Dicklesworthstone,2026-02,Dicklesworthstone/flywheel_gateway,77,0.004137
Dicklesworthstone,2026-02,Dicklesworthstone/asupersync_ansi_c,75,0.004030
Dicklesworthstone,2026-02,Dicklesworthstone/beads_viewer,70,0.003761
Dicklesworthstone,2026-02,Dicklesworthstone/mcp_agent_mail,69,0.003707
Dicklesworthstone,2026-02,Dicklesworthstone/cross_agent_session_resumer,66,0.003546
Dicklesworthstone,2026-02,Dicklesworthstone/franken_whisper,58,0.003116
Dicklesworthstone,2026-02,Dicklesworthstone/rich_rust,54,0.002901
Dicklesworthstone,2026-02,Dicklesworthstone/destructive_command_guard,53,0.002848
Dicklesworthstone,2026-02,Dicklesworthstone/repo_updater,38,0.002042
Dicklesworthstone,2026-02,Dicklesworthstone/Dicklesworthstone,30,0.001612
Dicklesworthstone,2026-02,Dicklesworthstone/toon_rust,27,0.001451
Dicklesworthstone,2026-02,Dicklesworthstone/frankenscipy,26,0.001397
Dicklesworthstone,2026-02,Dicklesworthstone/homebrew-tap,25,0.001343
Dicklesworthstone,2026-02,Dicklesworthstone/ultimate_bug_scanner,25,0.001343
Dicklesworthstone,2026-02,Dicklesworthstone/xf,24,0.001289
Dicklesworthstone,2026-02,Dicklesworthstone/opentui_rust,23,0.001236
Dicklesworthstone,2026-02,Dicklesworthstone/rano,23,0.001236
Dicklesworthstone,2026-02,Dicklesworthstone/vibe_cockpit,21,0.001128
Dicklesworthstone,2026-02,Dicklesworthstone/raptorq_article,20,0.001075
Dicklesworthstone,2026-02,Dicklesworthstone/franken_agent_detection,19,0.001021
Dicklesworthstone,2026-02,Dicklesworthstone/markdown_web_browser,17,0.000913
Dicklesworthstone,2026-02,Dicklesworthstone/scoop-bucket,17,0.000913
Dicklesworthstone,2026-02,Dicklesworthstone/meta_skill,17,0.000913
Dicklesworthstone,2026-02,Dicklesworthstone/beads_viewer_rust,17,0.000913
Dicklesworthstone,2026-02,Dicklesworthstone/frankensqlite_website,16,0.000860
Dicklesworthstone,2026-02,Dicklesworthstone/cass_memory_system,14,0.000752
Dicklesworthstone,2026-02,Dicklesworthstone/coding_agent_usage_tracker,11,0.000591
Dicklesworthstone,2026-02,Dicklesworthstone/slb,9,0.000484
Dicklesworthstone,2026-02,Dicklesworthstone/misc_coding_agent_tips_and_scripts,9,0.000484
Dicklesworthstone,2026-02,Dicklesworthstone/aadc,8,0.000430
Dicklesworthstone,2026-02,Dicklesworthstone/savant-elite,8,0.000430
Dicklesworthstone,2026-02,Dicklesworthstone/source_to_prompt_tui,8,0.000430
Dicklesworthstone,2026-02,Dicklesworthstone/fast_cmaes,8,0.000430
Dicklesworthstone,2026-02,Dicklesworthstone/coding_agent_account_manager,6,0.000322
Dicklesworthstone,2026-02,Dicklesworthstone/phage_explorer,5,0.000269
Dicklesworthstone,2026-02,Dicklesworthstone/beads_viewer_for_agentic_coding_flywheel_setup,5,0.000269
Dicklesworthstone,2026-02,Dicklesworthstone/ultimate_mcp_client,5,0.000269
Dicklesworthstone,2026-02,Dicklesworthstone/ultimate_mcp_server,5,0.000269
Dicklesworthstone,2026-02,Dicklesworthstone/giil,5,0.000269
Dicklesworthstone,2026-02,Dicklesworthstone/rust_stream_deck,5,0.000269
Dicklesworthstone,2026-02,Dicklesworthstone/rust_proxy,5,0.000269
Dicklesworthstone,2026-02,Dicklesworthstone/surface-dial-rust,5,0.000269
Dicklesworthstone,2026-02,Dicklesworthstone/llm-tournament,4,0.000215
Dicklesworthstone,2026-02,Dicklesworthstone/agent_settings_backup_script,4,0.000215
Dicklesworthstone,2026-02,Dicklesworthstone/agent_flywheel_clawdbot_skills_and_integrations,4,0.000215
Dicklesworthstone,2026-02,Dicklesworthstone/post_compact_reminder,4,0.000215
Dicklesworthstone,2026-02,Dicklesworthstone/brenner_bot,4,0.000215
Dicklesworthstone,2026-02,Dicklesworthstone/acip,4,0.000215
Dicklesworthstone,2026-02,Dicklesworthstone/bio_inspired_nanochat,4,0.000215
Dicklesworthstone,2026-02,Dicklesworthstone/lemelsonbot,3,0.000161
Dicklesworthstone,2026-02,Dicklesworthstone/automated_plan_reviser_pro,3,0.000161
Dicklesworthstone,2026-02,Dicklesworthstone/chat_shared_conversation_to_file,3,0.000161
Dicklesworthstone,2026-02,Dicklesworthstone/llm_aided_ocr,3,0.000161
Dicklesworthstone,2026-02,Dicklesworthstone/suno2cd,3,0.000161
Dicklesworthstone,2026-02,Dicklesworthstone/useful_tmux_commands,3,0.000161
Dicklesworthstone,2026-02,Dicklesworthstone/wasm_cmaes,3,0.000161
Dicklesworthstone,2026-02,Dicklesworthstone/toon-go,3,0.000161
Dicklesworthstone,2026-02,Dicklesworthstone/ultrasearch,3,0.000161
Dicklesworthstone,2026-02,Dicklesworthstone/beads-for-frankentui,3,0.000161
Dicklesworthstone,2026-02,Dicklesworthstone/rust_scriptbots,2,0.000107
Dicklesworthstone,2026-02,Dicklesworthstone/beads_viewer-pages,2,0.000107
Dicklesworthstone,2026-02,Dicklesworthstone/beads_for_cass,2,0.000107
Dicklesworthstone,2026-02,Dicklesworthstone/cmaes_explainer,2,0.000107
Dicklesworthstone,2026-02,Dicklesworthstone/curl_bash_one_liners_for_flywheel_tools,2,0.000107
Dicklesworthstone,2026-02,Dicklesworthstone/model_guided_research,2,0.000107
Dicklesworthstone,2026-02,Dicklesworthstone/system_resource_protection_script,2,0.000107
Dicklesworthstone,2026-02,Dicklesworthstone/franken_networkx,1,0.000054
Dicklesworthstone,2026-03,Dicklesworthstone/frankenterm,2301,0.166643
Dicklesworthstone,2026-03,Dicklesworthstone/asupersync,2012,0.145713
Dicklesworthstone,2026-03,Dicklesworthstone/flywheel_connectors,1344,0.097335
Dicklesworthstone,2026-03,Dicklesworthstone/frankensqlite,935,0.067714
Dicklesworthstone,2026-03,Dicklesworthstone/franken_engine,667,0.048305
