developer,iso_week,week_start_iso,commits_in_week,gini,active_repos_ge2,top_repo,top_repo_share
Dicklesworthstone,2025-38,2025-09-19T20:51:44+00:00,1,0.000000,0,Dicklesworthstone/ultimate_mcp_server,1.0000
Dicklesworthstone,2025-43,2025-10-21T16:01:39+00:00,388,0.033505,2,Dicklesworthstone/rust_scriptbots,0.5335
Dicklesworthstone,2025-44,2025-10-27T00:09:22+00:00,80,0.175000,2,Dicklesworthstone/rust_scriptbots,0.6750
Dicklesworthstone,2025-44,2025-11-02T23:55:45+00:00,1,0.000000,0,Dicklesworthstone/mcp_agent_mail,1.0000
Dicklesworthstone,2025-45,2025-11-03T07:39:03+00:00,179,0.335196,2,Dicklesworthstone/mcp_agent_mail,0.5084
Dicklesworthstone,2025-46,2025-11-10T00:05:01+00:00,108,0.413580,3,Dicklesworthstone/ultimate_bug_scanner,0.6667
Dicklesworthstone,2025-47,2025-11-17T00:00:02+00:00,1019,0.445000,10,Dicklesworthstone/ultimate_bug_scanner,0.2846
Dicklesworthstone,2025-48,2025-11-24T00:04:04+00:00,347,0.530259,6,Dicklesworthstone/beads_viewer,0.4006
Dicklesworthstone,2025-49,2025-12-01T04:07:48+00:00,294,0.515063,7,Jyotilohar18/cass_memory_system,0.4320
Dicklesworthstone,2025-50,2025-12-08T00:42:40-05:00,535,0.701105,9,Dicklesworthstone/ntm,0.4131
Dicklesworthstone,2025-51,2025-12-15T00:12:44-05:00,714,0.678695,12,Dicklesworthstone/agentic_coding_flywheel_setup,0.3137
Dicklesworthstone,2025-52,2025-12-22T02:01:37-05:00,514,0.696109,10,Dicklesworthstone/agentic_coding_flywheel_setup,0.6556
Dicklesworthstone,2026-01,2025-12-29T00:04:30-05:00,280,0.598810,5,Dicklesworthstone/brenner_bot,0.5071
Dicklesworthstone,2026-01,2026-01-01T19:26:04+00:00,851,0.707090,14,Dicklesworthstone/brenner_bot,0.3467
Dicklesworthstone,2026-02,2026-01-05T00:04:10+00:00,3184,0.705787,25,Dicklesworthstone/destructive_command_guard,0.1922
Dicklesworthstone,2026-03,2026-01-12T02:31:15+00:00,4083,0.738123,50,Dicklesworthstone/destructive_command_guard,0.1007
Dicklesworthstone,2026-04,2026-01-19T01:14:35+00:00,2610,0.634163,59,Dicklesworthstone/ntm,0.1184
Dicklesworthstone,2026-05,2026-01-26T00:15:25+00:00,4624,0.716278,46,Dicklesworthstone/remote_compilation_helper,0.0971
Dicklesworthstone,2026-05,2026-02-01T00:12:24+00:00,612,0.582559,18,Dicklesworthstone/asupersync,0.2108
Dicklesworthstone,2026-06,2026-02-02T00:00:22+00:00,5317,0.770709,34,Dicklesworthstone/frankentui,0.2417
Dicklesworthstone,2026-07,2026-02-09T00:03:38+00:00,6532,0.776675,59,Dicklesworthstone/frankenterm,0.1640
Dicklesworthstone,2026-08,2026-02-16T00:01:22+00:00,3683,0.799600,93,Dicklesworthstone/asupersync,0.1520
Dicklesworthstone,2026-09,2026-02-23T00:08:01+00:00,2468,0.768594,47,Dicklesworthstone/frankenterm,0.2168
Dicklesworthstone,2026-09,2026-03-01T04:50:44+00:00,108,0.378788,9,Dicklesworthstone/asupersync_ansi_c,0.1852
Dicklesworthstone,2026-10,2026-03-02T00:07:31+00:00,3004,0.758362,42,Dicklesworthstone/asupersync,0.2603
Dicklesworthstone,2026-11,2026-03-09T00:19:46+00:00,3057,0.767596,40,Dicklesworthstone/flywheel_connectors,0.1770
Dicklesworthstone,2026-12,2026-03-16T00:34:20+00:00,4882,0.857710,93,Dicklesworthstone/frankenterm,0.4183
Dicklesworthstone,2026-13,2026-03-23T00:00:06+00:00,2363,0.713007,48,Dicklesworthstone/frankenterm,0.0990
Dicklesworthstone,2026-14,2026-03-30T00:18:13+00:00,394,0.457530,28,Dicklesworthstone/asupersync,0.1371
Dicklesworthstone,2026-14,2026-04-01T00:05:17+00:00,919,0.628400,30,Dicklesworthstone/asupersync,0.1306
Dicklesworthstone,2026-15,2026-04-06T00:00:03+00:00,1993,0.577249,38,Dicklesworthstone/frankensqlite,0.1355
Dicklesworthstone,2026-16,2026-04-13T04:40:54+00:00,4167,0.693325,30,Dicklesworthstone/frankenterm,0.3005
Dicklesworthstone,2026-17,2026-04-20T00:02:36+00:00,8234,0.811283,51,Dicklesworthstone/frankenterm,0.1372
Dicklesworthstone,2026-18,2026-04-27T00:02:21+00:00,3875,0.727938,35,Dicklesworthstone/flywheel_connectors,0.1675
clubanderson,2025-39,2025-09-24T13:34:53+00:00,2,0.000000,1,llm-d/llm-d-workload-variant-autoscaler,1.0000
clubanderson,2025-40,2025-09-29T19:29:44+00:00,1,0.000000,0,llm-d/llm-d-workload-variant-autoscaler,1.0000
clubanderson,2025-41,2025-10-07T19:54:43+00:00,16,0.000000,1,llm-d/llm-d-workload-variant-autoscaler,1.0000
clubanderson,2025-42,2025-10-13T13:23:47+00:00,7,0.190476,2,llm-d/llm-d-workload-variant-autoscaler,0.4286
clubanderson,2025-43,2025-10-23T18:01:15+00:00,22,0.000000,1,kubestellar/docs,1.0000
clubanderson,2025-44,2025-10-27T17:25:58+00:00,41,0.000000,1,kubestellar/docs,1.0000
clubanderson,2025-45,2025-11-05T14:13:02+00:00,41,0.664634,2,kubestellar/docs,0.9024
clubanderson,2025-46,2025-11-10T20:11:47+00:00,12,0.250000,3,llm-d/llm-d-workload-variant-autoscaler,0.4167
clubanderson,2025-47,2025-11-20T17:42:50+00:00,23,0.456522,1,llm-d/llm-d-workload-variant-autoscaler,0.9565
clubanderson,2025-48,2025-11-25T00:27:04+00:00,5,0.300000,1,llm-d/llm-d-workload-variant-autoscaler,0.8000
clubanderson,2025-49,2025-12-01T16:30:35+00:00,21,0.412698,2,kubestellar/docs,0.6667
clubanderson,2025-50,2025-12-08T15:06:57+00:00,84,0.488095,1,kubestellar/docs,0.9881
clubanderson,2025-51,2025-12-15T18:45:38+00:00,53,0.122642,2,llm-d/llm-d-workload-variant-autoscaler,0.6226
clubanderson,2025-52,2025-12-22T15:18:58+00:00,26,0.461538,1,llm-d/llm-d-workload-variant-autoscaler,0.9615
clubanderson,2026-02,2026-01-05T16:54:39+00:00,142,0.334272,14,kubestellar/infra,0.2042
clubanderson,2026-03,2026-01-12T14:40:58+00:00,665,0.527235,17,kubestellar/docs,0.2211
clubanderson,2026-04,2026-01-19T05:17:48+00:00,269,0.835967,4,kubestellar/console,0.9368
clubanderson,2026-05,2026-01-26T04:28:05+00:00,338,0.860425,8,kubestellar/console,0.8314
clubanderson,2026-05,2026-02-01T21:34:38+00:00,4,0.000000,1,kubestellar/console,1.0000
clubanderson,2026-06,2026-02-02T01:59:29+00:00,239,0.874215,2,kubestellar/console,0.9331
clubanderson,2026-07,2026-02-09T15:21:01+00:00,302,0.784184,11,kubestellar/console,0.6788
