developer,commits,attributed_share,text_share,attributed_commits,attributed_median_churn,attributed_median_files,unattributed_commits,unattributed_median_churn,unattributed_median_files
Aggregate,143996,0.48287452429234146,0.4713880941137254,69532,98.0,2.0,74464,53.0,2.0
steipete,35089,0.027928980592208386,0.0004559833566074838,980,61.0,3.0,34109,50.0,2.0
Dicklesworthstone,70843,0.749827082421693,0.7477238400406533,53120,112.0,2.0,17723,45.0,1.0
ruvnet,5383,0.8883522199516998,0.8749767787479101,4782,40.0,1.0,601,243.0,3.0
obra,4419,0.4942294636795655,0.47703100248925095,2184,86.5,2.0,2235,75.0,2.0
philipp-spiess,808,0.04084158415841584,0.0024752475247524753,33,64.0,2.0,775,27.0,2.0
mavam,2685,0.44320297951582865,0.36312849162011174,1190,34.0,2.0,1495,37.0,2.0
teamchong,7204,0.006662965019433648,0.005274847307051638,48,145.0,4.0,7156,81.0,2.0
clubanderson,8536,0.28444236176194937,0.27542174320524837,2428,52.0,2.0,6108,72.0,1.0
steveyegge,9029,0.5279654446782589,0.5213201904972865,4767,88.0,2.0,4262,32.0,1.0
