developer,metric,min,p5,p25,median,mean,p75,p95,max
Aggregate,Churn,0,2.0,13.0,70.0,1115.9443595655434,263.0,1610.0,6855492
Aggregate,Files,0,1.0,1.0,2.0,7.118468568571349,4.0,14.0,20241
steipete,Churn,0,2.0,11.0,50.0,493.0168713841945,165.0,899.0,2382134
steipete,Files,0,1.0,1.0,2.0,7.604462937102796,5.0,17.0,20241
Dicklesworthstone,Churn,0,2.0,14.0,88.0,964.1518851544965,346.0,1771.8999999999942,6855492
Dicklesworthstone,Files,0,1.0,1.0,2.0,5.668209985460808,3.0,12.0,17647
ruvnet,Churn,0,2.0,6.0,46.0,8833.786364480773,501.5,13768.799999999923,5418284
ruvnet,Files,0,1.0,1.0,1.0,27.5428199888538,5.0,55.0,9675
obra,Churn,0,3.0,23.0,81.0,469.35347363656933,219.0,982.1999999999989,141424
obra,Files,0,1.0,1.0,2.0,5.0212717809459155,4.0,11.0,871
philipp-spiess,Churn,0,2.0,5.0,27.0,279.7017326732673,159.25,1312.85,23037
philipp-spiess,Files,0,1.0,1.0,2.0,3.642326732673267,3.0,12.0,132
mavam,Churn,0,2.0,10.0,36.0,642.9389199255121,147.0,1128.5999999999995,613247
mavam,Files,0,1.0,1.0,2.0,10.356424581005587,4.0,20.0,2732
teamchong,Churn,0,3.0,21.0,82.0,1170.9157412548584,313.0,2388.049999999993,462470
teamchong,Files,0,1.0,1.0,2.0,6.452248750694059,5.0,16.0,1469
clubanderson,Churn,0,2.0,16.0,68.0,1299.7097000937208,147.0,1123.0,3925715
clubanderson,Files,0,1.0,1.0,2.0,9.243908153701968,4.0,14.0,19664
steveyegge,Churn,0,2.0,11.0,63.0,440.84715915383765,244.0,1608.6000000000004,66836
steveyegge,Files,0,1.0,1.0,2.0,3.328718573485436,3.0,10.0,259
