developer,repo,url,developer_commits,first_commit,last_commit,active_days,window_commits,by_developer,by_claude,by_other_agents,by_infra_bots,by_other_humans,developer_share,developer_plus_agent_share,contributors,language,size_mb,stars,created_at,archived,aliases
Dicklesworthstone,Dicklesworthstone/frankenterm,https://github.com/Dicklesworthstone/frankenterm,7852,2026-01-18,2026-04-30,71,18437,10092,8345,0,0,0,0.5474,1.0000,6,Rust,526.7,110,2026-01-18,no,
Dicklesworthstone,Dicklesworthstone/asupersync,https://github.com/Dicklesworthstone/asupersync,5341,2026-01-16,2026-04-29,92,14050,6443,7606,1,0,0,0.4586,1.0000,4,Rust,750.2,270,2026-01-16,no,
Dicklesworthstone,Dicklesworthstone/flywheel_connectors,https://github.com/Dicklesworthstone/flywheel_connectors,3871,2026-01-11,2026-04-30,84,7141,4092,3049,0,0,0,0.5730,1.0000,4,Rust,539.6,85,2026-01-11,no,
Dicklesworthstone,Dicklesworthstone/frankensqlite,https://github.com/Dicklesworthstone/frankensqlite,3242,2026-02-07,2026-04-30,83,3673,2094,1579,0,0,0,0.5701,1.0000,2,Rust,443.1,217,2026-02-07,no,
Dicklesworthstone,Dicklesworthstone/coding_agent_session_search,https://github.com/Dicklesworthstone/coding_agent_session_search,2894,2025-11-21,2026-04-30,117,5221,2967,2252,2,0,0,0.5683,1.0000,4,Rust,511.6,1107,2025-11-21,no,
Dicklesworthstone,Dicklesworthstone/frankentui,https://github.com/Dicklesworthstone/frankentui,2784,2026-01-31,2026-04-29,69,4892,2747,2145,0,0,0,0.5615,1.0000,4,Rust,104.3,267,2026-01-31,no,
Dicklesworthstone,Dicklesworthstone/pi_agent_rust,https://github.com/Dicklesworthstone/pi_agent_rust,2646,2026-02-02,2026-04-30,79,4773,2629,2144,0,0,0,0.5508,1.0000,3,Rust,156.8,1697,2026-02-02,no,
Dicklesworthstone,Dicklesworthstone/frankenlibc,https://github.com/Dicklesworthstone/frankenlibc,2451,2026-02-09,2026-04-30,72,5359,3175,2184,0,0,0,0.5925,1.0000,2,Rust,162.9,49,2026-02-09,no,
Dicklesworthstone,Dicklesworthstone/ntm,https://github.com/Dicklesworthstone/ntm,2374,2025-12-10,2026-04-27,91,5159,2776,2383,0,0,0,0.5381,1.0000,2,Go,114.6,436,2025-12-10,no,
Dicklesworthstone,Dicklesworthstone/mcp_agent_mail_rust,https://github.com/Dicklesworthstone/mcp_agent_mail_rust,2251,2026-02-05,2026-04-30,81,4242,2276,1966,0,0,0,0.5365,1.0000,3,Rust,62.3,158,2026-02-05,no,
