developer,period_iso,total_commits,agent,count
Dicklesworthstone,2025-09-15,1,no agent,1
Dicklesworthstone,2025-10-20,388,claude_code,349
Dicklesworthstone,2025-10-20,388,codex,16
Dicklesworthstone,2025-10-20,388,cursor,10
Dicklesworthstone,2025-10-20,388,no agent,38
Dicklesworthstone,2025-10-27,81,claude_code,68
Dicklesworthstone,2025-10-27,81,codex,8
Dicklesworthstone,2025-10-27,81,cursor,2
Dicklesworthstone,2025-10-27,81,no agent,11
Dicklesworthstone,2025-10-27,81,opencode,1
Dicklesworthstone,2025-11-03,179,claude_code,158
Dicklesworthstone,2025-11-03,179,codex,3
Dicklesworthstone,2025-11-03,179,no agent,19
Dicklesworthstone,2025-11-03,179,sweep,1
Dicklesworthstone,2025-11-10,108,claude_code,89
Dicklesworthstone,2025-11-10,108,codex,11
Dicklesworthstone,2025-11-10,108,no agent,18
Dicklesworthstone,2025-11-17,1019,claude_code,454
Dicklesworthstone,2025-11-17,1019,codex,22
Dicklesworthstone,2025-11-17,1019,cursor,2
Dicklesworthstone,2025-11-17,1019,no agent,556
Dicklesworthstone,2025-11-17,1019,opencode,7
Dicklesworthstone,2025-11-24,347,claude_code,111
Dicklesworthstone,2025-11-24,347,codex,9
Dicklesworthstone,2025-11-24,347,cursor,1
Dicklesworthstone,2025-11-24,347,gemini,1
Dicklesworthstone,2025-11-24,347,no agent,232
Dicklesworthstone,2025-11-24,347,opencode,1
Dicklesworthstone,2025-12-01,329,claude_code,114
Dicklesworthstone,2025-12-01,329,codex,2
Dicklesworthstone,2025-12-01,329,no agent,79
Dicklesworthstone,2025-12-08,1816,claude_code,499
Dicklesworthstone,2025-12-08,1816,codex,6
Dicklesworthstone,2025-12-08,1816,cursor,1
Dicklesworthstone,2025-12-08,1816,no agent,123
Dicklesworthstone,2025-12-15,2030,claude_code,403
Dicklesworthstone,2025-12-15,2030,codex,25
Dicklesworthstone,2025-12-15,2030,no agent,285
Dicklesworthstone,2025-12-22,1078,claude_code,321
Dicklesworthstone,2025-12-22,1078,codex,6
Dicklesworthstone,2025-12-22,1078,no agent,197
Dicklesworthstone,2025-12-29,2060,claude_code,748
Dicklesworthstone,2025-12-29,2060,codex,14
Dicklesworthstone,2025-12-29,2060,no agent,403
Dicklesworthstone,2026-01-05,3184,claude_code,1917
Dicklesworthstone,2026-01-05,3184,codex,34
Dicklesworthstone,2026-01-05,3184,gemini,1
Dicklesworthstone,2026-01-05,3184,no agent,1262
Dicklesworthstone,2026-01-12,4083,claude_code,2530
Dicklesworthstone,2026-01-12,4083,codex,122
Dicklesworthstone,2026-01-12,4083,cursor,2
Dicklesworthstone,2026-01-12,4083,gemini,1
Dicklesworthstone,2026-01-12,4083,no agent,1521
Dicklesworthstone,2026-01-19,2610,claude_code,2200
Dicklesworthstone,2026-01-19,2610,codex,119
Dicklesworthstone,2026-01-19,2610,cursor,2
Dicklesworthstone,2026-01-19,2610,gemini,1
Dicklesworthstone,2026-01-19,2610,no agent,401
Dicklesworthstone,2026-01-26,5236,claude_code,4527
Dicklesworthstone,2026-01-26,5236,codex,28
Dicklesworthstone,2026-01-26,5236,cursor,1
Dicklesworthstone,2026-01-26,5236,no agent,705
Dicklesworthstone,2026-02-02,5317,amp,1
Dicklesworthstone,2026-02-02,5317,claude_code,3973
Dicklesworthstone,2026-02-02,5317,codex,30
Dicklesworthstone,2026-02-02,5317,copilot,1
Dicklesworthstone,2026-02-02,5317,cursor,4
Dicklesworthstone,2026-02-02,5317,gemini,1
Dicklesworthstone,2026-02-02,5317,no agent,1335
Dicklesworthstone,2026-02-02,5317,opencode,1
Dicklesworthstone,2026-02-09,6532,amp,1
Dicklesworthstone,2026-02-09,6532,claude_code,5272
Dicklesworthstone,2026-02-09,6532,codex,129
Dicklesworthstone,2026-02-09,6532,cursor,8
Dicklesworthstone,2026-02-09,6532,no agent,1240
Dicklesworthstone,2026-02-09,6532,opencode,4
Dicklesworthstone,2026-02-09,6532,sweep,1
Dicklesworthstone,2026-02-16,3683,claude_code,3453
Dicklesworthstone,2026-02-16,3683,codex,27
Dicklesworthstone,2026-02-16,3683,copilot,1
Dicklesworthstone,2026-02-16,3683,cursor,3
Dicklesworthstone,2026-02-16,3683,no agent,226
Dicklesworthstone,2026-02-23,2468,claude_code,2426
Dicklesworthstone,2026-02-23,2468,codex,57
Dicklesworthstone,2026-02-23,2468,cursor,6
Dicklesworthstone,2026-02-23,2468,no agent,40
mavam,2025-09-01,15,claude_code,2
mavam,2025-09-01,15,no agent,13
mavam,2025-09-08,40,claude_code,16
mavam,2025-09-08,40,codex,2
mavam,2025-09-08,40,no agent,23
mavam,2025-09-15,58,claude_code,7
mavam,2025-09-15,58,codex,1
mavam,2025-09-15,58,no agent,50
mavam,2025-09-22,82,claude_code,2
mavam,2025-09-22,82,codex,9
mavam,2025-09-22,82,no agent,72
mavam,2025-09-29,118,claude_code,2
mavam,2025-09-29,118,codex,7
mavam,2025-09-29,118,no agent,109
mavam,2025-10-06,66,claude_code,3
mavam,2025-10-06,66,codex,3
mavam,2025-10-06,66,no agent,62
mavam,2025-10-13,63,claude_code,2
mavam,2025-10-13,63,no agent,61
mavam,2025-10-20,89,claude_code,2
mavam,2025-10-20,89,codex,12
mavam,2025-10-20,89,no agent,76
mavam,2025-10-27,27,codex,1
mavam,2025-10-27,27,no agent,26
mavam,2025-11-03,37,claude_code,2
mavam,2025-11-03,37,codex,4
mavam,2025-11-03,37,no agent,33
mavam,2025-11-10,65,claude_code,1
mavam,2025-11-10,65,codex,3
mavam,2025-11-10,65,no agent,62
mavam,2025-11-17,3,no agent,3
mavam,2025-12-01,115,claude_code,68
mavam,2025-12-01,115,codex,10
mavam,2025-12-01,115,no agent,45
mavam,2025-12-08,141,amp,2
mavam,2025-12-08,141,claude_code,94
mavam,2025-12-08,141,codex,6
mavam,2025-12-08,141,no agent,46
mavam,2025-12-15,291,amp,4
mavam,2025-12-15,291,claude_code,175
mavam,2025-12-15,291,codex,7
mavam,2025-12-15,291,no agent,111
mavam,2025-12-22,156,amp,2
mavam,2025-12-22,156,claude_code,109
mavam,2025-12-22,156,codex,3
mavam,2025-12-22,156,no agent,45
mavam,2025-12-29,128,claude_code,73
mavam,2025-12-29,128,codex,4
mavam,2025-12-29,128,no agent,53
mavam,2026-01-05,157,amp,5
mavam,2026-01-05,157,claude_code,100
mavam,2026-01-05,157,codex,3
mavam,2026-01-05,157,no agent,51
mavam,2026-01-12,135,amp,1
mavam,2026-01-12,135,claude_code,106
mavam,2026-01-12,135,no agent,29
mavam,2026-01-19,114,amp,8
mavam,2026-01-19,114,claude_code,91
mavam,2026-01-19,114,codex,2
mavam,2026-01-19,114,no agent,22
mavam,2026-01-26,138,amp,2
mavam,2026-01-26,138,claude_code,113
mavam,2026-01-26,138,codex,1
mavam,2026-01-26,138,no agent,24
mavam,2026-02-02,111,amp,2
mavam,2026-02-02,111,claude_code,80
mavam,2026-02-02,111,codex,2
mavam,2026-02-02,111,no agent,30
mavam,2026-02-09,98,amp,1
mavam,2026-02-09,98,claude_code,34
mavam,2026-02-09,98,codex,2
mavam,2026-02-09,98,no agent,62
mavam,2026-02-16,156,amp,1
mavam,2026-02-16,156,claude_code,18
mavam,2026-02-16,156,no agent,138
mavam,2026-02-23,140,claude_code,33
mavam,2026-02-23,140,codex,5
mavam,2026-02-23,140,no agent,104
obra,2025-09-08,1,claude_code,1
obra,2025-09-15,2,claude_code,2
obra,2025-09-22,1,claude_code,1
obra,2025-09-29,14,claude_code,14
obra,2025-09-29,14,codex,2
obra,2025-10-06,66,amp,3
obra,2025-10-06,66,claude_code,3
obra,2025-10-06,66,no agent,60
obra,2025-10-13,103,amp,2
obra,2025-10-13,103,claude_code,12
obra,2025-10-13,103,no agent,89
obra,2025-10-20,131,claude_code,34
obra,2025-10-20,131,codex,1
obra,2025-10-20,131,no agent,96
obra,2025-10-27,96,claude_code,7
obra,2025-10-27,96,codex,3
obra,2025-10-27,96,no agent,86
obra,2025-11-03,9,claude_code,4
obra,2025-11-03,9,no agent,5
obra,2025-11-10,57,claude_code,56
obra,2025-11-10,57,no agent,1
obra,2025-11-10,57,opencode,1
obra,2025-11-17,93,claude_code,6
obra,2025-11-17,93,codex,5
obra,2025-11-17,93,no agent,61
obra,2025-11-17,93,opencode,21
obra,2025-11-24,108,claude_code,18
obra,2025-11-24,108,codex,11
obra,2025-11-24,108,no agent,78
obra,2025-11-24,108,opencode,1
obra,2025-12-01,49,claude_code,4
obra,2025-12-01,49,no agent,45
obra,2025-12-08,84,claude_code,3
obra,2025-12-08,84,no agent,81
obra,2025-12-15,123,claude_code,20
obra,2025-12-15,123,codex,2
obra,2025-12-15,123,no agent,102
obra,2025-12-22,34,claude_code,6
obra,2025-12-22,34,no agent,28
obra,2025-12-29,82,claude_code,1
obra,2025-12-29,82,no agent,81
obra,2026-01-12,411,claude_code,364
obra,2026-01-12,411,codex,1
obra,2026-01-12,411,no agent,47
obra,2026-01-19,28,claude_code,25
obra,2026-01-19,28,opencode,5
obra,2026-01-26,63,claude_code,4
obra,2026-01-26,63,codex,1
obra,2026-01-26,63,no agent,58
obra,2026-02-02,84,claude_code,65
obra,2026-02-02,84,codex,1
obra,2026-02-02,84,no agent,19
obra,2026-02-09,416,claude_code,345
obra,2026-02-09,416,codex,4
obra,2026-02-09,416,gemini,4
obra,2026-02-09,416,no agent,70
obra,2026-02-16,251,claude_code,197
obra,2026-02-16,251,no agent,54
