week,commits_total,commits_with_agent_signal,agent_rate,amp_count,amp_pct,claude_code_count,claude_code_pct,codex_count,codex_pct,copilot_count,copilot_pct,cursor_count,cursor_pct,gastown_count,gastown_pct,gemini_count,gemini_pct,opencode_count,opencode_pct,pi_count,pi_pct,qwen_code_count,qwen_code_pct,windsurf_count,windsurf_pct,multi_agent_count,multi_agent_pct,no_signal_count,no_signal_pct
2025-09-15,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0
2025-10-20,388,350,90.2,0,0.0,332,85.6,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,4.4,38,9.8
2025-10-27,81,70,86.4,0,0.0,61,75.3,2,2.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,8.6,11,13.6
2025-11-03,179,174,97.2,0,0.0,170,95.0,2,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.1,5,2.8
2025-11-10,108,90,83.3,0,0.0,79,73.1,1,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,9.3,18,16.7
2025-11-17,1019,463,45.4,0,0.0,434,42.6,8,0.8,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20,2.0,556,54.6
2025-11-24,347,115,33.1,0,0.0,106,30.5,4,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.4,232,66.9
2025-12-01,195,116,59.5,0,0.0,114,58.5,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,79,40.5
2025-12-08,624,501,80.3,0,0.0,495,79.3,2,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.6,123,19.7
2025-12-15,700,415,59.3,0,0.0,390,55.7,12,1.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13,1.9,285,40.7
2025-12-22,518,321,62.0,0,0.0,315,60.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,1.2,197,38.0
2025-12-29,1151,748,65.0,0,0.0,734,63.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,1.2,403,35.0
2026-01-05,3184,1922,60.4,0,0.0,1887,59.3,5,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30,0.9,1262,39.6
