commit_type,amp,claude_code,codex,copilot,cursor,gastown,gemini,multi agent,no signal,opencode,pi,qwen_code,windsurf
build,0.3,13.7,2.1,0.0,0.0,0.0,0.1,0.5,83.1,0.0,0.2,0.0,0.0
chore,0.1,56.0,0.8,0.1,0.0,0.0,0.0,1.1,41.7,0.0,0.0,0.0,0.0
ci,0.4,15.3,0.3,0.0,0.0,0.1,0.0,0.0,83.8,0.0,0.0,0.0,0.0
docs,0.4,34.8,5.0,0.0,0.0,0.0,0.0,3.1,56.5,0.0,0.0,0.1,0.0
feat,0.3,68.0,0.4,0.0,0.0,0.0,0.0,1.4,29.8,0.0,0.0,0.0,0.0
fix,0.1,47.3,0.3,0.0,0.0,0.1,0.0,1.3,50.8,0.0,0.0,0.0,0.0
perf,0.0,36.3,0.3,0.0,0.0,0.0,0.0,0.3,63.0,0.0,0.0,0.0,0.0
refactor,0.1,30.4,0.5,0.0,0.0,0.0,0.0,1.3,67.5,0.0,0.0,0.0,0.0
revert,0.0,15.7,1.4,0.0,0.0,0.5,0.0,3.3,79.0,0.0,0.0,0.0,0.0
style,0.1,47.9,0.0,0.0,0.0,0.0,0.0,0.3,51.8,0.0,0.0,0.0,0.0
test,0.0,45.9,0.1,0.0,0.0,0.0,0.0,0.3,53.7,0.0,0.0,0.0,0.0
unknown,0.1,25.7,0.5,1.3,0.0,0.1,0.0,1.0,71.2,0.0,0.1,0.0,0.0
total,0.1,46.0,0.7,0.2,0.0,0.1,0.0,1.2,51.5,0.0,0.0,0.0,0.0
