commit_type,amp,claude_code,codex,copilot,cursor,gastown,gemini,multi agent,no signal,opencode,pi,qwen_code,windsurf
build,3,135,21,0,0,0,1,5,819,0,2,0,0
chore,19,11711,173,19,4,6,5,234,8718,4,2,1,0
ci,7,249,5,0,0,2,0,0,1365,0,0,0,0
docs,34,3102,448,2,0,4,1,276,5040,3,1,6,0
feat,70,18791,120,13,1,12,4,380,8224,9,5,2,0
fix,40,16200,109,9,2,43,3,442,17420,10,3,2,0
perf,1,966,8,0,0,0,0,8,1675,0,0,0,0
refactor,9,2890,47,1,0,1,4,127,6410,4,2,0,0
revert,0,33,3,0,0,1,0,7,166,0,0,0,0
style,1,792,0,0,0,0,0,5,856,0,0,0,0
test,1,6544,20,1,1,0,0,38,7662,1,0,0,0
unknown,24,6237,133,307,4,28,4,244,17311,1,20,0,1
total,209,67650,1087,352,12,97,22,1766,75666,32,35,11,1
