commit_type,amp,claude_code,codex,gemini,multi agent,no signal,pi
build,1.7,11.4,2.8,0.6,0.6,81.8,1.1
chore,0.8,27.7,2.0,0.0,2.8,66.1,0.6
ci,0.0,0.0,0.0,0.0,0.0,100.0,0.0
docs,0.0,48.2,2.6,0.0,2.6,45.6,0.9
feat,0.0,43.2,3.1,0.2,1.6,51.2,0.8
fix,0.0,36.6,0.0,0.0,0.0,62.5,0.9
perf,0.0,25.0,5.0,0.0,0.0,70.0,0.0
refactor,0.0,34.4,2.6,0.3,6.2,56.2,0.5
revert,0.0,100.0,0.0,0.0,0.0,0.0,0.0
style,0.0,40.0,0.0,0.0,0.0,60.0,0.0
test,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown,0.6,31.4,3.2,0.1,1.3,61.7,1.7
total,0.4,33.8,2.6,0.1,1.9,60.1,1.1
