commit_type,amp,claude_code,codex,gemini,multi agent,no signal,opencode
build,0.0,12.1,0.9,0.0,0.0,86.9,0.0
chore,0.3,24.4,2.5,0.8,0.6,70.3,1.1
ci,33.3,33.3,0.0,0.0,0.0,33.3,0.0
docs,0.0,44.4,0.8,0.0,0.5,53.5,0.8
feat,0.1,56.8,0.4,0.1,0.6,41.7,0.4
fix,0.1,41.4,0.1,0.0,0.5,57.0,0.8
perf,0.0,53.8,0.0,0.0,0.0,46.2,0.0
refactor,0.5,40.8,2.3,0.9,3.3,50.2,1.9
revert,0.0,10.0,3.3,0.0,10.0,76.7,0.0
style,0.0,43.2,0.0,0.0,0.0,56.8,0.0
test,0.0,51.2,0.8,0.0,0.0,47.3,0.8
unknown,0.6,39.7,0.7,0.1,0.7,58.2,0.0
total,0.2,44.8,0.7,0.1,0.7,52.9,0.6
