commit_type,amp,claude_code,codex,cursor,gemini,multi agent,no signal,qwen_code,windsurf
build,0.0,0.6,2.5,0.0,0.0,0.4,96.5,0.0,0.0
chore,0.2,0.1,3.4,0.1,0.1,0.4,95.8,0.0,0.0
ci,0.6,0.2,0.3,0.0,0.0,0.0,99.0,0.0,0.0
docs,0.7,0.2,9.6,0.0,0.0,0.5,88.8,0.1,0.0
feat,0.8,0.4,2.2,0.0,0.1,0.3,96.1,0.1,0.0
fix,0.2,0.1,1.0,0.0,0.0,0.1,98.5,0.0,0.0
perf,0.1,0.0,0.5,0.0,0.0,0.1,99.3,0.0,0.0
refactor,0.1,0.1,0.5,0.0,0.0,0.1,99.2,0.0,0.0
revert,0.0,0.0,2.2,0.0,0.0,0.0,97.8,0.0,0.0
style,0.1,0.1,0.0,0.0,0.0,0.1,99.6,0.0,0.0
test,0.0,0.0,0.3,0.0,0.0,0.0,99.7,0.0,0.0
unknown,0.1,0.2,1.8,0.1,0.1,0.1,97.5,0.0,0.1
total,0.3,0.1,2.2,0.0,0.0,0.2,97.2,0.0,0.0
