commit_type,amp,claude_code,codex,copilot,gastown,multi agent,no signal,opencode
build,0.0,28.6,0.0,0.0,0.0,14.3,57.1,0.0
chore,0.3,17.8,1.6,0.1,0.3,2.1,77.8,0.0
ci,0.0,58.3,0.0,0.0,16.7,0.0,25.0,0.0
docs,0.9,78.7,0.0,0.0,1.2,6.3,12.9,0.0
feat,2.6,79.1,0.1,0.0,0.8,6.8,10.6,0.1
fix,0.9,73.2,0.0,0.0,1.7,12.8,11.5,0.0
perf,0.0,81.8,0.0,0.0,0.0,12.1,6.1,0.0
refactor,1.0,71.9,0.3,0.3,0.3,19.0,7.2,0.0
revert,0.0,22.7,4.5,0.0,4.5,18.2,50.0,0.0
style,0.0,42.9,0.0,0.0,0.0,42.9,14.3,0.0
test,1.0,84.4,0.0,0.0,0.0,11.5,3.1,0.0
unknown,0.4,8.8,0.0,0.0,1.0,0.5,89.3,0.0
total,0.9,45.4,0.3,0.0,1.0,6.2,46.1,0.0
