agent,commits_total,commits_build,commits_chore,commits_ci,commits_docs,commits_feat,commits_fix,commits_perf,commits_refactor,commits_revert,commits_style,commits_test,commits_unknown
amp,100.0,1.4,9.1,3.3,16.3,33.5,19.1,0.5,4.3,0.0,0.5,0.5,11.5
claude_code,100.0,0.2,17.3,0.4,4.6,27.8,23.9,1.4,4.3,0.0,1.2,9.7,9.2
codex,100.0,1.9,15.9,0.5,41.2,11.0,10.0,0.7,4.3,0.3,0.0,1.8,12.2
copilot,100.0,0.0,5.4,0.0,0.6,3.7,2.6,0.0,0.3,0.0,0.0,0.3,87.2
cursor,100.0,0.0,33.3,0.0,0.0,8.3,16.7,0.0,0.0,0.0,0.0,8.3,33.3
gastown,100.0,0.0,6.2,2.1,4.1,12.4,44.3,0.0,1.0,1.0,0.0,0.0,28.9
gemini,100.0,4.5,22.7,0.0,4.5,18.2,13.6,0.0,18.2,0.0,0.0,0.0,18.2
multi agent,100.0,0.3,13.3,0.0,15.6,21.5,25.0,0.5,7.2,0.4,0.3,2.2,13.8
no signal,100.0,1.1,11.5,1.8,6.7,10.9,23.0,2.2,8.5,0.2,1.1,10.1,22.9
opencode,100.0,0.0,12.5,0.0,9.4,28.1,31.3,0.0,12.5,0.0,0.0,3.1,3.1
pi,100.0,5.7,5.7,0.0,2.9,14.3,8.6,0.0,5.7,0.0,0.0,0.0,57.1
qwen_code,100.0,0.0,9.1,0.0,54.5,18.2,18.2,0.0,0.0,0.0,0.0,0.0,0.0
windsurf,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
