agent,commits_total,,commits_build,commits_chore,commits_ci,commits_docs,commits_feat,commits_fix,commits_perf,commits_refactor,commits_revert,commits_style,commits_test,commits_unknown
amp,209,0.29%,3,19,7,34,70,40,1,9,0,1,1,24
claude_code,67650,94.92%,135,11711,249,3102,18791,16200,966,2890,33,792,6544,6237
codex,1087,1.53%,21,173,5,448,120,109,8,47,3,0,20,133
copilot,352,0.49%,0,19,0,2,13,9,0,1,0,0,1,307
cursor,12,0.02%,0,4,0,0,1,2,0,0,0,0,1,4
gastown,97,0.14%,0,6,2,4,12,43,0,1,1,0,0,28
gemini,22,0.03%,1,5,0,1,4,3,0,4,0,0,0,4
multi agent,1766,2.48%,5,234,0,276,380,442,8,127,7,5,38,244
opencode,32,0.04%,0,4,0,3,9,10,0,4,0,0,1,1
pi,35,0.05%,2,2,0,1,5,3,0,2,0,0,0,20
qwen_code,11,0.02%,0,1,0,6,2,2,0,0,0,0,0,0
windsurf,1,0.00%,0,0,0,0,0,0,0,0,0,0,0,1
,71274,,,,,,,,,,,,,
,,,,,,,,,,,,,,
no signal,75666,,819,8718,1365,5040,8224,17420,1675,6410,166,856,7662,17311
