developer,agent,commits_total,commits_build,commits_chore,commits_ci,commits_docs,commits_feat,commits_fix,commits_perf,commits_refactor,commits_revert,commits_style,commits_test,commits_unknown
Dicklesworthstone,claude_code,100.0,0.2,16.6,0.4,3.8,29.5,24.3,1.7,4.6,0.0,1.4,12.1,5.4
Dicklesworthstone,codex,100.0,0.7,13.5,0.7,23.6,15.5,6.8,1.4,4.1,0.0,0.0,1.4,32.4
Dicklesworthstone,cursor,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0
Dicklesworthstone,multi agent,100.0,0.1,15.2,0.0,29.0,28.6,11.0,0.4,3.6,0.0,0.1,3.4,8.6
Dicklesworthstone,no signal,100.0,0.3,15.3,0.9,3.1,9.5,17.4,2.0,2.5,0.2,0.6,8.6,39.6
clubanderson,amp,100.0,0.0,33.3,0.0,11.1,33.3,11.1,0.0,0.0,0.0,0.0,0.0,11.1
clubanderson,claude_code,100.0,0.0,2.3,0.3,0.6,4.9,16.8,0.1,0.4,0.0,0.0,0.9,73.6
clubanderson,codex,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
clubanderson,copilot,100.0,0.0,4.9,0.0,0.6,3.7,2.6,0.0,0.0,0.0,0.0,0.3,88.0
clubanderson,multi agent,100.0,0.0,0.0,0.0,0.0,2.8,5.6,0.0,1.4,0.0,0.0,0.7,89.4
clubanderson,no signal,100.0,0.0,7.4,0.6,0.8,5.2,19.6,0.1,1.1,0.1,0.2,0.8,64.0
mavam,amp,100.0,23.1,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8
mavam,claude_code,100.0,1.8,9.1,0.0,5.0,25.5,11.8,0.5,12.3,0.3,0.4,0.0,33.4
mavam,codex,100.0,6.0,8.4,0.0,3.6,24.1,0.0,1.2,12.0,0.0,0.0,0.0,44.6
mavam,gemini,100.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0
mavam,multi agent,100.0,1.6,15.9,0.0,4.8,15.9,0.0,0.0,38.1,0.0,0.0,0.0,23.8
mavam,no signal,100.0,7.4,12.2,0.1,2.7,17.0,11.3,0.7,11.3,0.0,0.3,0.0,37.0
mavam,pi,100.0,5.7,5.7,0.0,2.9,14.3,8.6,0.0,5.7,0.0,0.0,0.0,57.1
obra,amp,100.0,0.0,11.1,11.1,0.0,11.1,11.1,0.0,11.1,0.0,0.0,0.0,44.4
obra,claude_code,100.0,0.6,4.1,0.0,7.8,43.2,22.8,0.3,4.0,0.1,0.9,3.1,13.0
obra,codex,100.0,3.0,27.3,0.0,9.1,21.2,3.0,0.0,15.2,3.0,0.0,3.0,15.2
obra,gemini,100.0,0.0,42.9,0.0,0.0,14.3,0.0,0.0,28.6,0.0,0.0,0.0,14.3
obra,multi agent,100.0,0.0,5.7,0.0,5.7,28.6,17.1,0.0,20.0,8.6,0.0,0.0,14.3
obra,no signal,100.0,3.7,10.0,0.0,7.9,26.9,26.6,0.2,4.2,0.9,1.0,2.4,16.2
obra,opencode,100.0,0.0,13.8,0.0,10.3,24.1,34.5,0.0,13.8,0.0,0.0,3.4,0.0
philipp-spiess,claude_code,100.0,0.0,50.0,0.0,0.0,16.7,0.0,0.0,16.7,0.0,0.0,0.0,16.7
philipp-spiess,codex,100.0,7.4,3.7,3.7,29.6,14.8,7.4,0.0,0.0,0.0,0.0,0.0,33.3
philipp-spiess,multi agent,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,75.0
philipp-spiess,no signal,100.0,2.7,8.6,5.3,3.9,11.9,7.8,0.1,2.5,1.0,0.6,3.0,52.7
philipp-spiess,opencode,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ruvnet,amp,100.0,0.0,33.3,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ruvnet,claude_code,100.0,0.2,45.1,0.3,10.7,13.1,10.6,0.4,0.2,0.0,0.2,0.2,18.9
ruvnet,codex,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
ruvnet,multi agent,100.0,0.0,55.6,0.0,4.0,19.2,7.1,0.0,1.0,0.0,0.0,0.0,13.1
ruvnet,no signal,100.0,0.1,31.6,1.0,11.6,17.6,22.1,0.4,0.5,0.5,0.0,0.9,13.6
steipete,amp,100.0,0.0,5.6,6.7,33.7,27.0,18.0,1.1,5.6,0.0,1.1,0.0,1.1
steipete,claude_code,100.0,6.0,6.0,4.0,16.0,26.0,24.0,0.0,6.0,0.0,2.0,2.0,8.0
steipete,codex,100.0,1.6,14.3,0.4,52.4,8.4,12.6,0.7,3.3,0.1,0.0,2.2,4.1
steipete,cursor,100.0,0.0,44.4,0.0,0.0,11.1,22.2,0.0,0.0,0.0,0.0,0.0,22.2
steipete,gemini,100.0,0.0,18.2,0.0,9.1,18.2,27.3,0.0,9.1,0.0,0.0,0.0,18.2
steipete,multi agent,100.0,3.1,20.0,0.0,32.3,13.8,16.9,1.5,9.2,0.0,1.5,0.0,1.5
steipete,no signal,100.0,1.4,9.1,3.1,10.7,8.2,26.6,2.8,13.8,0.1,2.0,17.3,4.9
steipete,qwen_code,100.0,0.0,9.1,0.0,54.5,18.2,18.2,0.0,0.0,0.0,0.0,0.0,0.0
steipete,windsurf,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
