developer,agent,commits_total,commits_build,commits_chore,commits_ci,commits_docs,commits_feat,commits_fix,commits_perf,commits_refactor,commits_revert,commits_style,commits_test,commits_unknown
Dicklesworthstone,claude_code,52722,85,8773,217,2024,15528,12789,902,2425,21,753,6367,2838
Dicklesworthstone,codex,148,1,20,1,35,23,10,2,6,0,0,2,48
Dicklesworthstone,cursor,2,0,0,0,0,0,0,0,0,0,0,1,1
Dicklesworthstone,multi agent,776,1,118,0,225,222,85,3,28,0,1,26,67
Dicklesworthstone,no signal,17772,59,2727,152,547,1684,3094,361,438,27,111,1526,7046
clubanderson,amp,9,0,3,0,1,3,1,0,0,0,0,0,1
clubanderson,claude_code,2039,1,46,7,13,100,343,2,8,0,1,18,1500
clubanderson,codex,1,0,0,0,0,0,0,0,0,0,0,0,1
clubanderson,copilot,349,0,17,0,2,13,9,0,0,0,0,1,307
clubanderson,multi agent,142,0,0,0,0,4,8,0,2,0,0,1,127
clubanderson,no signal,6086,1,451,39,50,315,1193,8,67,8,11,51,3892
mavam,amp,13,3,3,0,0,0,0,0,0,0,0,0,7
mavam,claude_code,1092,20,99,0,55,278,129,5,134,3,4,0,365
mavam,codex,83,5,7,0,3,20,0,1,10,0,0,0,37
mavam,gemini,4,1,0,0,0,1,0,0,1,0,0,0,1
mavam,multi agent,63,1,10,0,3,10,0,0,24,0,0,0,15
mavam,no signal,1941,144,236,2,52,330,220,14,219,0,6,0,718
mavam,pi,35,2,2,0,1,5,3,0,2,0,0,0,20
obra,amp,9,0,1,1,0,1,1,0,1,0,0,0,4
obra,claude_code,2151,13,88,1,167,929,491,7,87,3,19,66,280
obra,codex,33,1,9,0,3,7,1,0,5,1,0,1,5
obra,gemini,7,0,3,0,0,1,0,0,2,0,0,0,1
obra,multi agent,35,0,2,0,2,10,6,0,7,3,0,0,5
obra,no signal,2539,93,253,1,201,682,676,6,107,23,25,61,411
obra,opencode,29,0,4,0,3,7,10,0,4,0,0,1,0
philipp-spiess,claude_code,6,0,3,0,0,1,0,0,1,0,0,0,1
philipp-spiess,codex,27,2,1,1,8,4,2,0,0,0,0,0,9
philipp-spiess,multi agent,4,0,0,0,0,0,0,0,1,0,0,0,3
philipp-spiess,no signal,876,24,75,46,34,104,68,1,22,9,5,26,462
philipp-spiess,opencode,1,0,0,0,0,0,0,0,0,0,0,0,1
ruvnet,amp,3,0,1,0,0,2,0,0,0,0,0,0,0
ruvnet,claude_code,5297,11,2390,15,566,696,564,21,10,0,11,11,1002
ruvnet,codex,1,0,0,0,0,0,0,0,0,0,0,0,1
ruvnet,multi agent,99,0,55,0,4,19,7,0,1,0,0,0,13
ruvnet,no signal,784,1,248,8,91,138,173,3,4,4,0,7,107
steipete,amp,89,0,5,6,30,24,16,1,5,0,1,0,1
steipete,claude_code,50,3,3,2,8,13,12,0,3,0,1,1,4
steipete,codex,762,12,109,3,399,64,96,5,25,1,0,17,31
steipete,cursor,9,0,4,0,0,1,2,0,0,0,0,0,2
steipete,gemini,11,0,2,0,1,2,3,0,1,0,0,0,2
steipete,multi agent,65,2,13,0,21,9,11,1,6,0,1,0,1
steipete,no signal,34196,468,3102,1046,3670,2805,9096,971,4714,44,686,5931,1663
steipete,qwen_code,11,0,1,0,6,2,2,0,0,0,0,0,0
steipete,windsurf,1,0,0,0,0,0,0,0,0,0,0,0,1
steveyegge,amp,86,0,6,0,3,40,22,0,3,0,0,1,11
steveyegge,claude_code,4247,2,307,7,263,1238,1856,27,220,5,3,81,238
steveyegge,codex,32,0,27,0,0,2,0,0,1,1,0,0,1
steveyegge,copilot,3,0,2,0,0,0,0,0,1,0,0,0,0
steveyegge,gastown,97,0,6,2,4,12,43,0,1,1,0,0,28
steveyegge,multi agent,582,1,36,0,21,106,325,4,58,4,3,11,13
steveyegge,no signal,4316,4,1342,3,43,166,291,2,22,11,1,3,2428
steveyegge,opencode,1,0,0,0,0,1,0,0,0,0,0,0,0
teamchong,claude_code,46,0,2,0,6,8,16,2,2,1,0,0,9
teamchong,cursor,1,0,0,0,0,0,0,0,0,0,0,0,1
teamchong,no signal,7156,25,284,68,352,2000,2609,309,817,40,11,57,584
teamchong,opencode,1,0,0,0,0,1,0,0,0,0,0,0,0
